question,option1,option2,option3,option4,year,level,shift,answer,topic,subtopic
The value of $$\sqrt{\tan^2 60^\circ + \sin 90^\circ} - 2 \tan 45^\circ$$ is:,0,2,4,1,2020,E,5th March Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"The average age of a number of persons in a group was calculated as 35 years, which was 2.5 years more than the correct average as there was an error in recording the age of two persons as 38.5 years and 40 years instead of 29 years and 22 years respectively. The number of persons in the group was:",11,12,15,13,2020,M,4th March Shift 3,A,Arithmetic,Average
"The chords AB and CD ofa circle intersect at E. If AE = 12 cm, BE = 20.25 cm and CE = 3 DE,then the length (in cm) of CE is:",27,25.5,18,28.5,2020,M,4th March Shift 3,A,Geometry,"Circles,Chords & Tangents"
"A sum of ₹ x was divided between A, B, C and D in the ratio $$\frac{1}{3} : \frac{1}{5} : \frac{1}{6} : \frac{1}{9}$$. If the difference between the shares of B and D is ₹832, then the value of x is:","₹7,592","₹7,384","₹7,696","₹7,488",2020,H,4th March Shift 3,A,Arithmetic,Ratio & Proportion
"Places A and B are 144 km apart. Two cars start simultaneously, one from A and the other from B. If they move in the same direction, they meet after 12 hours, but if they move towards each other they meet after $$\frac{9}{8}$$ hours. The speed (in km/h)of the car moving at a faster speed, is:",70,72,60,64,2020,E,4th March Shift 3,A,Arithmetic,"Speed, Time & Distance"
"If the selling price of an article is 8% more than the cost price and the discount offered is 10% on the marked price of the article, then what is the ratio of the cost price to the marked price?",05:06,08:09,03:04,04:05,2020,M,4th March Shift 3,A,Arithmetic,Discount
"If $$7 \cos^2 \theta + 3 \sin^2 \theta = 6, 0^\circ < \theta < 90^\circ,$$ then the value of $$\frac{\cot^2 2\theta + \sec^2 2\theta}{\tan^2 2\theta - \sin^2 2\theta}$$ is:",$$\frac{52}{27}$$,$$\frac{26}{15}$$,$$\frac{28}{27}$$,$$\frac{49}{45}$$,2020,E,4th March Shift 3,A,Trigonometry,Trigonometric Ratios and Identities
"The average of five consecutive even numbers is M.If the next five even numbers are also included, the average of ten numbers will be:",M + 5,11,10,M + 10,2020,E,3rd March Shift 3,A,Arithmetic,Average
$$(a + b - c + d)^2 - (a - b + c - d)^2 = ?$$,$$4a(b + d - c)$$,$$2a(a + b - c)$$,$$2a(b + c - d)$$,$$4a(b - d + c)$$,2020,E,3rd March Shift 3,A,Algebra,Identities
"A can finish a work in 20 days and B can finish the same work in 25 days. They begin together, but B left the work after 5 days. How many more days will A take to finish the remaining work?",11,8,16,21,2020,E,3rd March Shift 3,A,Arithmetic,Time & Work
The value of $$\frac{36 \div 42  of  6 \times 7 + 24 \times 6 \div 18 + 3 \div (2 - 6) - (4 + 3 \times 2) \div 8}{21 \div 3  of  7}$$ is:,7,$$7\frac{1}{2}$$,$$8\frac{1}{2}$$,$$\frac{1}{7}$$,2020,E,3rd March Shift 3,A,Arithmetic,Simplification
A person marked his goods at a price that would give him 40% profit but he declared a sale and allowed 20% discount on the marked price. What is the profit percentage of the person in the whole transaction ?,12%,32%,30%,20%,2020,E,3rd March Shift 3,A,Arithmetic,Discount
Solve the following expression.$$11+11\times11-11\div11$$,131,22,11,121,2020,E,9th March Shift 2,A,Arithmetic,Simplification
"If integer n is divided by 5, the remainder is 2. What will be the remainder if 7n is divided by 5?",4,1,3,2,2020,H,9th March Shift 2,A,Arithmetic,Divisibility & Remainder
"In a circle, chords PQ and TS are produced to meet at R. If RQ = 14.4 cm, PQ = 11.2 cm, and SR = 12.8 cm, then the length of chord TS is:",16 cm,14.2 cm,18 cm,12.4 cm,2020,M,9th March Shift 2,A,Geometry,"Circles,Chords & Tangents"
If $$a=2b=8c$$ and $$a+b+c=13$$ then the value of $$\frac{\sqrt{a^{2}+b^{2}+c^{2}}}{2c}$$ is:,$$\frac{9}{2}$$,$$-\frac{5}{6}$$,$$-\frac{9}{2}$$,$$\frac{5}{6}$$,2020,E,9th March Shift 2,A,Algebra,Identities
"A certain sum amounts to Rs.280900 in 2 years at 6% per annum, interest compounded annually. The sum is:",Rs.250000,Rs.200000,Rs.350000,Rs.550000,2020,M,9th March Shift 2,A,Arithmetic,SI & CI
The following table shows the imports and exports (in Rs.crore) of a country over 4 years (2016 to 2019).                                                                                         https://cracku.in/media/uploads/294215.png                                                                                                                                                                                                        The average trade balance (in Rs.crores) is:,8,12,6,4,2020,M,9th March Shift 2,A,Data Interpretation,Tables
"A wheel covers a distance of 1,100 cm in one round. The diameter of the wheelis:",350 cm,175 cm,200 cm,150 cm,2020,E,9th March Shift 2,A,Mensuration,Plane Figures
"A, B and C can individually complete a task in 24 days,16 days and 32 days respectively. If A and C start the work and worked for 6 days and left, then the number of days required by B to complete the remaining task, is:",$$9$$,$$17\frac{1}{2}$$,$$7\frac{1}{2}$$,$$12\frac{1}{2}$$,2020,E,9th March Shift 2,A,Arithmetic,Time & Work
"The following table shows the number of employees working in various departments of an organisation from 2016 to 2019.
https://cracku.in/media/uploads/screenshot_26_ShRRrNg.png                                                                                                                                                                           In which year were the maximum number of employees working in the organization?",2019,2017,2016,2018,2020,M,7th March Shift 2,A,Data Interpretation,Tables
"During a medical check-up, the heights of 40 students in a class were recorded as shown in the following table.                                                                               https://cracku.in/media/uploads/screenshot_IdC6vZp.png                                                                                                                                                                             How many students have a height of 165 cm or more?",15,10,25,16,2020,M,6th March Shift 2,A,Data Interpretation,Tables
If $$a+\frac{1}{a}=5$$ then $$a^{3} + \frac{1}{a^{3}}$$ is:,110,10,80,140,2020,E,6th March Shift 2,A,Algebra,Identities
"The following table shows the daily earnings of 45 skilled workers.                                                                                                                                                             https://cracku.in/media/uploads/screenshot_2_dKMgEtC.png                                                                                                                                                                          How many workers earn less than ₹1,100 in a day?",39,10,29,43,2020,M,6th March Shift 2,A,Data Interpretation,Tables
Solve the following $$113 \times 87 = ?$$,9831,10026,10169,10000,2020,E,6th March Shift 2,A,Arithmetic,Simplification
"A shopkeeper marked a computer table for ₹7,200. He allows a discount of 10% on it and yet makes profit of 8%. What will be his gain percentage if he does NOT allow any discount?",20%,9%,18%,2%,2020,H,6th March Shift 2,A,Arithmetic,Discount
"In a school, 4 % of the students did not appear for the annual exams. 10% of the students who appeared for the exams could not pass the exam. Out of the remaining students, 50% got distinction marks and 432 students passed the exam but could not get distinction marks. The total number of students in the school is:",1000,1200,960,878,2020,E,6th March Shift 2,A,Arithmetic,Percentage
Solve the following. $$\sin0^\circ \sin30^\circ \sin45^\circ \sin60^\circ \sin90^\circ = ?$$,0,4,$$\frac{\sqrt{6}}{8}$$,1,2020,M,6th March Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"Reema sold 48 articles for ₹ 2,160 and suffered a loss of 10%. How many articles should she sell for ₹2,016 to earn a profit of 12%?",36,40,28,32,2020,E,5th March Shift 2,A,Arithmetic,Profit & Loss
"If $$11 \sin^{2} \theta - \cos^{2} \theta + 4 \sin \theta - 4 = 0, 0^\circ < \theta < 90^\circ$$, then what  is the value of $$\frac{\cos 2\theta + \cot 2 \theta}{\sec 2 \theta - \tan 2 \theta}$$",$$\frac{12+7\sqrt{3}}{6}$$,$$\frac{12+5\sqrt{3}}{3}$$,$$\frac{10+5\sqrt{3}}{3}$$,$$\frac{10+7\sqrt{3}}{6}$$,2020,E,5th March Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"ABCD is a cyclic quadrilateral which sides AD and BC are produced to meet at P, and sides DC and AB meet at Q when produced. If $$\angle A = 60^\circ$$ and $$\angle ABC = 72^\circ$$, then \angle PDC - $$\angle DPC =$$",$$24^\circ$$,$$30^\circ$$,$$36^\circ$$,$$40^\circ$$,2020,M,5th March Shift 2,A,Geometry,Quadrilaterals
"If $$x^{4} + x^{2} y^{2} + y^{4} = 273$$ and $$x^{2} - xy + y^{2} = 13$$, then the value of  xy is :",4,10,6,8,2020,E,5th March Shift 2,A,Algebra,Identities
"The time taken by a boat to travel 13 km downstream is the same as time taken by it to travel 7 km upstream. If the speed of the stream is 3 km/h, then how much time (in hours) will it take to travel a distance of 44.8 km in still water?",$$4\frac{12}{25}$$,$$5\frac{3}{5}$$,$$5\frac{2}{5}$$,$$4\frac{13}{25}$$,2020,M,4th March Shift 2,A,Arithmetic,Boats & Streams
A cylindrical vessel of radius 30 cm and height 42 cm is full of water. Its contents are emptied into a rectangular tub of length 75 cm and breadth 44 cm. The height (in cm) to which the water rises in the tub is: (Take $$\pi = \frac{22}{7}$$),36,30,40,45,2020,E,4th March Shift 2,A,Mensuration,Solid Figures
"If the 6-digit numbers $$x35624$$ and $$1257y4$$ are divisible by 11 and 12, respectively, then what is the value of (5x - 2y ) ?",26,12,10,13,2020,E,4th March Shift 2,A,Arithmetic,Divisibility & Remainder
"If a + b + c = 7 and ab + bc + ca = -6, then the value of $$a^3 + b^3 + c^3 - 3abc$$ is:",469,472,463,479,2020,E,4th March Shift 2,A,Algebra,Identities
"A and B, working together, can complete a work in d days. Working alone, A takes (8 + d) days and B takes (18 + d) days to complete the same work. A works for 4 days. The remaining work will be completed by B alone, in:",24 days,16 days,18 days,20 days,2020,E,4th March Shift 2,A,Arithmetic,Time & Work
"In $$\triangle$$ ABC, D and E are the points on sides AC and BC, respectively such that DE parallel to AB. F is a point on CE such that DF $$\perp$$ CE. If CE = 6 cm, and CF = 2.5 cm, then BC is equal to:",14.4 cm,15.6 cm,14 cm,12 cm,2020,M,4th March Shift 2,A,Geometry,Congruence and Similarity of Triangles
"If $$P = \frac{x^4 - 8x}{x^3 - x^2 - 2x}, Q = \frac{x^2 + 2x + 1}{x^2 - 4x - 5}$$ and $$R = \frac{2x^2 + 4x + 8}{x - 5}$$, then $$(P \times Q) \div R$$ is equal to:",$$\frac{1}{2}$$,1,2,4,2020,E,4th March Shift 2,A,Algebra,Identities
"The given table represents the number of engineers recruited by four companies A, B, C and D over the years. Study the table carefully and answer the question that follows.                                                                                                                                                                                                                                             https://cracku.in/media/uploads/Q54_JUWYNbH.png                                                                                                                                                                                           The number of the years in which the number of engineers recruited by company D is less than the average number of engineers recruited by B in the given six years,is:                                                                                                                                                                                        ",3,1,4,2,2020,E,3rd March Shift 2,A,Data Interpretation,Tables
"If $$2 \sin \theta + 15 \cos^2 \theta = 7, 0^\circ < \theta < 90^\circ$$, then $$\tan \theta + \cos \theta + \sec \theta =$$",$$3\frac{3}{5}$$,3,$$3\frac{4}{5}$$,4,2020,E,3rd March Shift 2,A,Trigonometry,Trigonometric Ratios and Identities
"If x is the mean proportional between 12.8 and 64.8 and y is the third proportional to 38.4 and 57.6, then 2x : y is equal to:",02:03,04:05,03:04,01:02,2020,E,3rd March Shift 2,A,Arithmetic,Ratio & Proportion
"The average of the first four numbers is three times the fifth number. If the average of all the five numbers is 85.8, then the fifth number is:",33,34,39,29,2020,E,3rd March Shift 2,A,Arithmetic,Average
The expression $$(a + b - c)^3 + (a - b + c)^3 - 8a^3$$is equal to:,$$6a(a - b + c)(c - a - b)$$,$$3a(a + b - c)(a - b + c)$$,$$6a(a + b - c)(a - b + c)$$,$$3a(a - b + c)(c - a - b)$$,2020,M,3rd March Shift 2,A,Algebra,Identities
"A and B start moving towards each other from places X and Y, respectively, at the same time. The speed of A is 20% more than that of B. After meeting on the way, A and B take  $$2\frac{1}{2}$$ hours and x hours, now to reach Y and X, respectively. What is the value of x ?",$$3\frac{3}{5}$$,$$3\frac{2}{3}$$,$$3\frac{1}{2}$$,$$3\frac{2}{5}$$,2020,E,3rd March Shift 2,A,Arithmetic,"Speed, Time & Distance"
"If $$A+B=12$$ and $$AB=17$$, What is the value of $$A^{3}+B^{3}$$ ?",1116,1166,1106,1213,2020,E,9th March Shift 1,A,Algebra,Identities
"What is the difference between the number of candidates qualifying in the year 1998, in the states M and P?                                                                                    https://cracku.in/media/uploads/293988_fruwInK.png",40,50,44,60,2020,E,9th March Shift 1,A,Data Interpretation,Tables
"Ravi scores 72 % marks in examinations. If these are 360 marks, then the maximum marks are:",500,450,400,350,2020,M,9th March Shift 1,A,Arithmetic,Percentage
"In the right triangle shown in the figure ,                                                                                                                                                                                                                       https://cracku.in/media/uploads/16_RMKuzpo.png                                                                                                                                                                                                            what is the value of $$\operatorname{cosec}\theta$$ ?",$$\frac{13}{5}$$,$$\frac{5}{13}$$,$$\frac{5}{11}$$,$$\frac{12}{13}$$,2020,E,9th March Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"The length, breadth and height of a cuboidal box are in the ratio 7 : 5 : 3 and its whole surface area is 27832 $$cm^{2}$$. Its volume is:",288120 $$cm^{3}$$,280120 $$cm^{3}$$,208120 $$cm^{3}$$,288100 $$cm^{3}$$,2020,E,9th March Shift 1,A,Mensuration,Solid Figures
"From the given table, what is the percentage of students scoring 40 or more. but less than 70.
https://cracku.in/media/uploads/screenshot_34_LAHU4it.png",52.75%,54.75%,44.75%,56%,2020,E,7th March Shift 1,A,Data Interpretation,Tables
"The coefficient of y in the expansion of $$(2y - 5)^3$$, is:",150,50,-30,-150,2020,E,7th March Shift 1,A,Algebra,Polynomials
"In a school, the distribution of teachers is as follows:
https://cracku.in/media/uploads/screenshot_35_ug9Vab9.png                                                                                                                                                                                          The total number of teachers of age less than 40 years is:",12,10,39,18,2020,E,7th March Shift 1,A,Data Interpretation,Tables
"Ten men or twelve women can finish the same workin 10 days. If 5 men and 2 women undertake the work together, how many days will they take to complete the work?",15,40,20,60,2020,E,7th March Shift 1,A,Arithmetic,Time & Work
What is the value of $$\sin 30^\circ + \cos 30^\circ - \tan 45^\circ $$?,$$\frac{\sqrt{3} - 1}{2}$$,$$\frac{\sqrt{2} + 1}{\sqrt{2}}$$,$$\frac{\sqrt{3} + 1}{2}$$,$$\frac{1 - \sqrt{3}}{2}$$,2020,E,7th March Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"In the given figure,                                                                                                                                                                                                                                                              https://cracku.in/media/uploads/Q13_9rilqPv.png                                                                                                                                                                                                               $$\cos\theta$$ is equal to:",$$\frac{5}{13}$$,$$\frac{12}{13}$$,$$\frac{5}{12}$$,$$\frac{12}{5}$$,2020,E,7th March Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"If $$1 - 64x^3 - 12x + px^2 = (1 - 4x)^3$$, then the value of p is:",48,-12,-48,16,2020,E,7th March Shift 1,A,Algebra,Identities
The value of $$151^2 - 149^2$$ is:,600,300,$$2^2$$,400,2020,E,7th March Shift 1,A,Algebra,Identities
"Study the given table carefully and answer the question that follows.
https://cracku.in/media/uploads/screenshot_36_bHtIwCc.png                                                                                                                                                                                        The percentage of students who have passed with distinction in the year 2012,is:",25%,20%,22%,27%,2020,E,7th March Shift 1,A,Data Interpretation,Tables
"The average of five consecutive odd numbers is m. If the next three odd numbers are also included, then what is the increase in the average?",3,0,17,8,2020,E,7th March Shift 1,A,Arithmetic,Average
"In a particular year, the number of students enrolled in different streams in a College is as follows:
https://cracku.in/media/uploads/screenshot_22_puQOcX9.png                                                                                                                                                                        The percentage of girls students is:",46%,50%,135%,54%,2020,E,7th March Shift 1,A,Data Interpretation,Tables
A circular disc of area $$0.64\pi m^{2}$$ rolls down a length of 1.408 km. The number of revolutions it makes is: (Taken $$\pi = \frac{22}{7}$$).,280,360,140,180,2020,H,6th March Shift 1,A,Mensuration,Plane Figures
"An article was sold at a gain of 18%. If it had been sold for ₹ 49 more, then the gain would have been 25%. The cost price of the article is:",₹ 700,₹ 570,₹ 650,₹ 890,2020,E,6th March Shift 1,A,Arithmetic,Profit & Loss
"A shopkeeper marks the price of an article in such a way that after allowing a discount of 22%, he gets a gain of 11%.If the marked price is Rs.888, then the cost price of the article is:",₹ 624,₹ 782,₹ 550,₹ 895,2020,M,6th March Shift 1,A,Arithmetic,Discount
"In the following table, the production of various crops (in tonnes) is given from 2015 to 2019. Study the table and answer the questions that follow.       https://cracku.in/media/uploads/a_S4C03Ep.png                                                                                                                                                                                                         The average production of wheat (in tonnes) in the period given in the table is:",3600,3482,3300,4218,2020,E,6th March Shift 1,A,Data Interpretation,Tables
"In the following table, the production of various crops(in tonnes) is given from 2015 to 2019. Study the table and answer the questions that follow.       https://cracku.in/media/uploads/a_V9J6abs.png                                                                                                                                                                                                  The difference (in tonnes) between the average production of barley and average production of rice is:",231,780,549,471,2020,E,6th March Shift 1,A,Data Interpretation,Tables
"If ‘+’ means ‘-’,‘-’ means ‘+’, ‘x’ means ‘$$\div$$’ and ‘$$\div$$’ means ‘x’, then the value of $$\frac{[(30\times5)+(84\times6)]\div5}{[\frac{2}{3}\div18]-[4\div2]}$$ is:",-2,2,-1,1,2020,M,6th March Shift 1,A,Arithmetic,Simplification
A student takes 1.25 hours to travel from home to school at a speed of 4 km/h. By what percentage should he increase his speed to reduce the time by 25% to cover the same distance from school to home?,$$33\frac{1}{3}$$ %,$$50$$ %,$$45$$ %,$$25$$ %,2020,M,6th March Shift 1,A,Arithmetic,"Speed, Time & Distance"
"If the number 687x29 is divisible by 9, then the value of 2x is:",8,3,2,4,2020,E,6th March Shift 1,A,Arithmetic,Divisibility & Remainder
The population of a city increased by 30%in the first year and decreased by 15% in the next year. If the present population is 11.050 then the population 2 years ago was:,"10,000","99,500","99,000","10,050",2020,E,6th March Shift 1,A,Arithmetic,Percentage
"The given table represents the exports (in ₹crores) of four items A, B, C and D over a period of six years. Study the table and answer the question that follows.
https://cracku.in/media/uploads/screenshot_15_zdQv7J2.png                                                                                                                                                                          In which year, the exports of item D were 1.4 times the average exports of item B during six years?",2013,2012,2011,2014,2020,E,5th March Shift 1,A,Data Interpretation,Tables
"If $$x^2 - 2\sqrt{5}x + 1 = 0$$, then what is the value of $$x^5 + \frac{1}{x^5}$$?",$$610\sqrt{5}$$,$$406\sqrt{5}$$,$$408\sqrt{5}$$,$$612\sqrt{5}$$,2020,M,5th March Shift 1,A,Algebra,Identities
"The ratio of the ages of A and B, 8 years ago, was 2 : 3. Four years ago,the ratio of their ages was 5 : 7. What will be the ratio of their ages 8 years from now?",04:05,05:06,07:08,03:04,2020,E,5th March Shift 1,A,Arithmetic,Age
"If $$P = \frac{x^3 + y^3}{(x - y)^2 + 3xy}, Q = \frac{(x + y)^2 - 3xy}{x^3 - y^3}$$ and $$R = \frac{(x + y)^2 + (x - y)^2}{x^2 - y^2}$$, then what is the value of $$(P \div Q) \times R$$?",$$2(x^2 + y^2)$$,$$x^2 + y^2$$,$$4xy$$,$$2xy$$,2020,M,5th March Shift 1,A,Algebra,Identities
"A shopkeeper bought 80 kg of rice at a discount of 10%. Besides 1 kg rice was offered free to him on the purchase of every 20 kg rice. If he sells the rice at the marked price, his profit percentage will be:",$$16\frac{2}{3}\%$$,$$15\frac{1}{3}\%$$,$$15\frac{3}{7}\%$$,$$14\frac{2}{7}\%$$,2020,E,5th March Shift 1,A,Arithmetic,Discount
"Two chords AB and CD of a circle with centre O intersect each other at P. If $$\angle BOC = 70^\circ$$ and $$\angle AOD = 100^\circ$$, then $$\angle APC$$ is:",$$95^\circ$$,$$70^\circ$$,$$65^\circ$$,$$55^\circ$$,2020,M,5th March Shift 1,A,Geometry,"Circles,Chords & Tangents"
"Pipes A and B can fill a tank in 10 hours and 40 hours, respectively. C is an outlet pipe attached to the tank. If all the three pipes are opened simultaneously, it takes 80 minutes more time than what A and B together take to fill the tank. A and B are kept opened for 7 hours and then closed and C was opened. C will now empty the tank in:",49 hours,38.5 hours,42 hours,45.5 hours,2020,E,5th March Shift 1,A,Arithmetic,Pipes & Cistern
"The compound interest on a certain sum at $$16\frac{2}{3}\%$$ p.a. for 3 years is ₹6,350. What will be the simple interest on the same sum at the samerate for $$5\frac{2}{3}$$ years?","₹10,200","₹11,400","₹7,620","₹9,600",2020,M,5th March Shift 1,A,Arithmetic,SI & CI
The value of $$\frac{3\frac{2}{3} \div \frac{11}{30}  of  \frac{2}{3} - \frac{1}{4}  of  2\frac{1}{2} \div \frac{3}{5} \times 4 \frac{4}{5}}{\frac{2}{5}  of  7\frac{1}{2} \div \frac{3}{4} - \frac{3}{4} \times 1\frac{1}{2} \div 2\frac{1}{4}}$$ is:,$$2\frac{6}{7}$$,$$2\frac{2}{9}$$,$$3\frac{4}{7}$$,$$\frac{10}{21}$$,2020,E,5th March Shift 1,A,Arithmetic,Simplification
"On simplification, $$\frac{x^3 - y^3}{x[(x + y)^2 - 3xy]} \div \frac{y[(x - y)^2 + 3xy]}{x^3 + y^3} \times \frac{(x + y)^2 - (x - y)^2}{x^2 - y^2}$$ is equal to:",4,1,$$\frac{1}{2}$$,$$\frac{1}{4}$$,2020,M,4th March Shift 1,A,Algebra,Identities
"Sonu saves 15% of her income. If her income increases by 20% and she still saves the same amount as before, then what is the percentage increase in her expenditure? (correct to one decimal place)",23.5,22.8,23.8,242,2020,E,4th March Shift 1,A,Arithmetic,Percentage
"The circumference of the base of a conical tent is 66 m.If the height of the tent is 36 m, what is the area (in m$$^2$$) of the canvas used in making the tent?(Take $$\pi = \frac{22}{7}$$)",1237.5,1171.5,1254,1155,2020,E,4th March Shift 1,A,Mensuration,Solid Figures
"If a + b + c = 11, ab + bc + ca = 3 and abc = —135, then what is the value of $$a^3 + b^3 + c^3$$?",827,929,823,925,2020,M,4th March Shift 1,A,Algebra,Identities
"If $$5 \sin^2 \theta + 14 \cos \theta = 13, 0^\circ < \theta < 90^\circ$$, then what is the value of $$\frac{\sec \theta + \cot \theta}{cosec \theta + \tan \theta}$$?",$$\frac{40}{29}$$,$$\frac{32}{27}$$,$$\frac{21}{28}$$,$$\frac{9}{8}$$,2020,E,4th March Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
A trader allows a discount of 18% on the marked price of an article. How much percentage above the cost price must he mark it so as to get a profit of 6.6%?,30,24,28,25,2020,E,4th March Shift 1,A,Arithmetic,Discount
A boat can go 3 km upstream and 5 km downstream in 55 minutes. It can also go 4 km upstream and 9 km downstream in 1 hour 25 minutes. In how much time(in hours) will it go 43.2 km downstream?,3.6,4.4,5.4,4.8,2020,E,4th March Shift 1,A,Arithmetic,Boats & Streams
"A person buys 5 tables and 9 chairs for ₹15,400. Hesells the tables at 10% profit and chairs at 20% profit. If his total profit on selling all the tables and chairs is ₹2,080, what is the cost price of 3 chairs?","₹1,800","₹1,740","₹1,860","₹1,890",2020,E,4th March Shift 1,A,Arithmetic,Profit & Loss
"The given table represents the number of computers sold by four dealers A, B, C and D during the first six months of 2016. Study the table carefully and answer the question that follows.                                                                                                                                                                                                                           https://cracku.in/media/uploads/Q54_oTR6ETn.png                                                                                                                                                                                            The number of months, in which the number of computers sold by dealer B was less than the average number of computers sold by dealer C over six months, was:",4,3,5,2,2020,E,4th March Shift 1,A,Data Interpretation,Tables
"The given table represents the number of computers sold by four dealers A, B, C and D during the first six months of 2016. Study the table carefully and answer the question that follows.                                                                                                                                                                                                                           https://cracku.in/media/uploads/Q54_oTR6ETn.png                                                                                                                                                                                                   What is the ratio of the total number of computers sold by dealer A in February, April and May to the total number of computers sold by dealer D in March, May and June?",10:09,06:05,15:13,20:27,2020,E,4th March Shift 1,A,Data Interpretation,Tables
"If the number 1005x4 is completely divisible by 8, then the smallest integer in place of x will be:",0,1,4,2,2020,E,3rd March Shift 1,A,Arithmetic,Divisibility & Remainder
"The radius of a circular garden is 42 m. The distance (in m) covered by running 8 rounds around it, is: (Take $$\pi = \frac{22}{7}$$)",2112,1124,3248,4262,2020,H,3rd March Shift 1,A,Mensuration,Plane Figures
"A person sells an article at 10% below its cost price. Had he sold it for ₹332 more, he would have made a profit of 20%. What is the original selling price (in ₹) of the article?",996,1328,1028,896,2020,E,3rd March Shift 1,A,Arithmetic,Profit & Loss
"If '+' means '-', '-' means '+', '$$\times$$' means '$$\div$$', and '$$\div$$' means '$$\times$$', then the value of $$\frac{42 - 12 \times 3 + 8 \div 2 + 15}{8 \times 2 - 4 + 9 \div 3}$$ is:",$$-\frac{15}{19}$$,$$\frac{5}{3}$$,$$-\frac{5}{3}$$,$$\frac{15}{19}$$,2020,E,3rd March Shift 1,A,Arithmetic,Simplification
"If $$A + B = 45^\circ$$, then the value of $$2(1 + \tan A)(1 + \tan B)$$ is:",4,0,2,1,2020,M,3rd March Shift 1,A,Trigonometry,Trigonometric Ratios and Identities
"The given table shows the number (in thousands) of cars of five different models A, B, C, D and E produced during Years 2012-2017. Study the table and answer the question that follow.                                                                                                                                                                                                                           https://cracku.in/media/uploads/Q52_0orN5ek.png                                                                                                                                                                                               In the year 2015, which type of car constitutes exactly 20% of the total number of cars produced that year?",E,A,B,D,2020,E,3rd March Shift 1,A,Data Interpretation,Tables
"The given table shows the number (in thousands) of cars of five different models A, B, C, D and E produced during Years 2012-2017. Study the table and answer the question that follow.                                                                                                                                                                                                                         https://cracku.in/media/uploads/Q52_eye8deY.png                                                                                                                                                                                                The percentage increase in the total cars in 2016 over 2012, is:",50%,45%,33.33%,62.33%,2020,H,3rd March Shift 1,A,Data Interpretation,Tables
"If $$x^{2a} = y^{2b} = z^{2c}$$ ≠ 0 and $$x^2 = yz$$, then the value of $$\frac{ab + bc + ca}{bc}$$ is:",3,3ac,3bc,3ab,2020,E,3rd March Shift 1,A,Algebra,Identities
The value of $$\frac{3(1 - 2 \sin^{2}x)}{\cos^{2}x - \sin^{2}x}$$ is:,4,3,1,2,2020,E,9th March Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
The value of $$(26-13\times2)\div2+1$$ is:,$$0$$,$$1$$,$$\frac{26}{3}$$,$$14$$,2020,E,9th March Shift 3,B,Arithmetic,Simplification
The value of $$\cos 10^\circ \cos 30^\circ \cos 50^\circ \cos 70^\circ \cos 90^\circ$$ is:,3,0,5,1,2020,E,9th March Shift 3,B,Trigonometry,Trigonometric Ratios and Identities
A cell phone was marked at 20% above the cost price and a discount of 10% was given on its marked price. What is the profit percentage?,10%,8%,11%,9%,2020,E,9th March Shift 3,B,Arithmetic,Discount
"As per data shown in the following table, what is the percentage of students who got less than 50 marks?
https://cracku.in/media/uploads/295111.png",74%,48%,72%,38%,2020,M,9th March Shift 3,B,Data Interpretation,Tables
"In a circle, AB is a the diameter and CD is a chord. AB and CD produced meet at a point P, outside the circle. If PD = 15.3 cm, CD = 11.9 cm and AP = 30.6 cm,then the radius of the circle is is:",8 cm,8.5 cm,9cm,7.5 cm,2020,E,9th March Shift 3,B,Geometry,"Circles,Chords & Tangents"
"From an external point P, a tangent PQ is drawn to a circle, with the centre O, touching the circle at Q. If the distance of P from the centre is 13 cm and length of the tangent PQ is 12 cm, then the radius of the circle is:",3cm,5 cm,10 cm,12.5 cm,2020,E,9th March Shift 3,B,Geometry,"Circles,Chords & Tangents"
"If $$p+q=7$$ and $$pq=5$$, then the value of $$p^{3}+q^{3}$$ is:",34,238,448,64,2020,E,9th March Shift 3,B,Algebra,Identities
"If an amount of Rs.990 is divided among A, B and C in the ratio of 3 : 4 : 2, then B will get:",Rs. 247.5,Rs. 440,Rs. 110,Rs. 350,2020,H,9th March Shift 3,B,Arithmetic,Ratio & Proportion
What is the remainder when we divide $$5^{70} - 7^{70}$$ by 24 ?,5,0,7,1,2020,E,7th March Shift 3,B,Arithmetic,Divisibility & Remainder
"A man sold two gifts at ₹30 each. On one gift he gained 18%, and on the other gift he lost 18%. What is his over all gain/loss (in ₹)?",Gain of ₹1.75,Loss of ₹2.00,Loss of ₹2.50,Gain of ₹2.00,2020,E,7th March Shift 3,B,Arithmetic,Profit & Loss
By what number must the given number be multiplied to increase the number by 25%,$$\frac{3}{4}$$,$$\frac{5}{4}$$,$$\frac{2}{5}$$,3,2020,E,7th March Shift 3,B,Arithmetic,Percentage
